국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수
타지키스탄,"13,308",0,90,"13,218",0.7,99.3,"1,395","9,537,645"
벨라루스,"411,153","4,075","3,053","404,025",0.7,98.3,"43,511","9,449,323"
오스트리아,"649,670","2,625","10,680","636,365",1.6,98.0,"72,134","9,006,398"
파푸아뉴기니,"17,013",444,173,"16,396",1.0,96.4,"1,902","8,947,024"
세르비아,"715,841","2,849","7,004","705,988",1.0,98.6,"81,929","8,737,371"
이스라엘,"839,990
(+123)","501
(+123)","6,428","833,061",0.8,99.2,"97,047","8,655,535"
스위스,"701,994","14,625
(-3)","10,875
(+3)","676,494",1.5,96.4,"81,112","8,654,622"
토고,"13,731
(+10)","245
(+7)",128,"13,358
(+3)",0.9,97.3,"1,659","8,278,724"
시에라리온,"4,879
(+63)","1,528
(+58)",82,"3,269
(+5)",1.7,67.0,612,"7,976,983"
홍콩,"11,889","63
(-2)",210,"11,616
(+2)",1.8,97.7,"1,586","7,496,981"
라오스,"2,054",103,3,"1,948",0.1,94.8,282,"7,275,560"
파라과이,"407,721
(+1,501)","49,332
(-1,296)","11,743
(+110)","346,646
(+2,687)",2.9,85.0,"57,164","7,132,538"
불가리아,"421,152
(+120)","9,966
(-260)","18,000
(+10)","393,186
(+370)",4.3,93.4,"60,611","6,948,445"
리비아,"191,038","11,410","3,178","176,450",1.7,92.4,"27,802","6,871,292"
레바논,"543,551
(+46)","5,333
(-732)","7,825
(+3)","530,393
(+775)",1.4,97.6,"79,636","6,825,445"
니카라과,"7,696","3,283",188,"4,225",2.4,54.9,"1,162","6,624,554"
키르기스스탄,"115,615","8,268","1,937","105,410",1.7,91.2,"17,721","6,524,195"
엘살바도르,"77,484
(+384)","3,545
(+124)","2,336
(+4)","71,603
(+256)",3.0,92.4,"11,946","6,486,205"
싱가포르,"62,430","325
(-29)","35
(+1)","62,070
(+28)",0.1,99.4,"10,671","5,850,342"
덴마크,"291,801","4,518","2,531","284,752",0.9,97.6,"50,378","5,792,202"
핀란드,"94,379","47,412",967,"46,000",1.0,48.7,"17,034","5,540,720"
콩고공화국,"12,298",926,161,"11,211",1.3,91.2,"2,229","5,518,087"
슬로바키아,"391,326",875,"12,496","377,955",3.2,96.6,"71,676","5,459,642"
노르웨이,"129,545
(+212)","39,803
(+212)",790,"88,952",0.6,68.7,"23,896","5,421,241"
오만,"250,572","27,660","2,741","220,171",1.1,87.9,"49,068","5,106,626"
팔레스타인,"312,811
(+138)","2,945
(+63)","3,554
(+3)","306,312
(+72)",1.1,97.9,"61,318","5,101,414"
코스타리카,"354,095
(+3,465)","71,340
(-2,689)","4,530
(+57)","278,225
(+6,097)",1.3,78.6,"69,511","5,094,118"
라이베리아,"3,109
(+114)","841
(+46)","99
(+4)","2,169
(+64)",3.2,69.8,615,"5,057,681"
아일랜드,"269,321
(+273)","11,054
(-108)","4,979
(+38)","253,288
(+343)",1.8,94.0,"54,543","4,937,786"
중앙아프리카 공화국,"7,129
(+28)","172
(+28)",98,"6,859",1.4,96.2,"1,476","4,829,767"
뉴질랜드,"2,720",23,26,"2,671",1.0,98.2,564,"4,822,233"
모리타니,"20,365
(+29)","446
(+4)",481,"19,438
(+25)",2.4,95.4,"4,380","4,649,658"
파나마,"394,241
(+514)","10,521
(+30)","6,477
(+2)","377,243
(+482)",1.6,95.7,"91,370","4,314,767"
쿠웨이트,"340,967
(+1,935)","17,797
(+520)","1,877
(+7)","321,293
(+1,408)",0.6,94.2,"79,841","4,270,571"
크로아티아,"359,184",535,"8,182","350,467",2.3,97.6,"87,493","4,105,267"
몰도바,"256,187
(+47)","798
(+5)","6,173
(+3)","249,216
(+39)",2.4,97.3,"63,508","4,033,963"
조지아,"359,141","8,384","5,175","345,582",1.4,96.2,"90,029","3,989,167"
에리트레아,"5,421
(+59)","505
(-20)",19,"4,897
(+79)",0.4,90.3,"1,529","3,546,421"
우루과이,"356,382
(+1,517)","24,195
(-1,905)","5,316
(+45)","326,871
(+3,377)",1.5,91.7,"102,593","3,473,730"
보스니아 헤르체고비나,"204,860
(+46)","14,972
(-354)","9,643
(+13)","180,245
(+387)",4.7,88.0,"62,442","3,280,819"
몽골,"98,050
(+2,231)","33,237
(+1,333)","459
(+12)","64,354
(+886)",0.5,65.6,"29,909","3,278,290"
