국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수,국토면적
부룬디,"5,242
","4,461
",8,773,0.2,14.7,441,"11,890,784","27,834"
튀니지,"385,428
","34,658
","14,118
","336,652
",3.7,87.3,"32,612","11,818,619","163,610"
볼리비아,"422,811
","65,678
","16,174
","340,959
",3.8,80.6,"36,221","11,673,021","1,098,581"
벨기에,"1,079,640
","37,925
","25,141
","1,016,574",2.3,94.2,"93,156","11,589,623","30,528"
아이티,"17,371","4,319",385,"12,667",2.2,72.9,"1,523","11,402,528","27,750"
쿠바,"169,365
","8,420
","1,170
","159,775
",0.7,94.3,"14,953","11,326,616","109,884"
남수단,"10,786
","157
",115,"10,514",1.1,97.5,964,"11,193,725","644,329"
도미니카 공화국,"317,645
","54,238
","3,758
","259,649
",1.2,81.7,"29,282","10,847,910","48,670"
체코,"1,666,082","2,640","30,280","1,633,162",1.8,98,"155,578","10,708,981","78,867"
그리스,"418,548
","6,111
","12,559
","399,878
",3,95.5,"40,156","10,423,054","131,957"
요르단,"747,000
","6,498
","9,671
","730,831
",1.3,97.8,"73,213","10,203,134","89,342"
포르투갈,"865,806
","28,657
","17,068
","820,081
",2,94.7,"84,910","10,196,709","92,090"
아제르바이잔,"335,521",959,"4,963","329,599",1.5,98.2,"33,092","10,139,177","86,600"
스웨덴,"1,084,636",N/A,"14,537",N/A,1.3,N/A,"107,398","10,099,265","450,295"
온두라스,"254,194
","155,560
","6,772
","91,862
",2.7,36.1,"25,664","9,904,607","112,492"
